"LINE_ID","SHIFT_CALENDAR_ID","SHIFT_ID","REPETITION_TP","REPETITION_DATA","SETTING_NAME","TIMEZONE_PATTERN_ID","DISPLAY_TEXT","BACKGROUND_COLOR","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"1","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"1","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"1","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"1","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"1","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:26:50","A2867","2018-10-22 13:26:50","1"
"2","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:27:39","A2867","2018-10-22 13:27:39","1"
"2","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:27:39","A2867","2018-10-22 13:27:39","1"
"2","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:27:39","A2867","2018-10-22 13:27:39","1"
"2","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:27:39","A2867","2018-10-22 13:27:39","1"
"3","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:12","A2867","2018-10-22 13:28:12","1"
"3","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:12","A2867","2018-10-22 13:28:12","1"
"3","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:12","A2867","2018-10-22 13:28:12","1"
"3","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:12","A2867","2018-10-22 13:28:12","1"
"4","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:47","A2867","2018-10-22 13:28:47","1"
"4","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:47","A2867","2018-10-22 13:28:47","1"
"4","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:47","A2867","2018-10-22 13:28:47","1"
"4","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:47","A2867","2018-10-22 13:28:47","1"
"4","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2867","2018-10-22 13:28:47","A2867","2018-10-22 13:28:47","1"
"5","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"5","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"5","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"5","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"5","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"5","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:17","A2636","2018-10-22 16:18:17","1"
"6","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
"6","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
"6","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
"6","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
"6","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
"6","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2018-10-22 16:18:45","A2636","2018-10-22 16:18:45","1"
