"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","3","2019-02-01","2019-05-31","A2636","2019-01-17 16:44:47","A2636","2019-01-17 16:44:47","1"
"1","4","2020-02-03","2020-02-03","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","5","2020-02-04","2020-02-04","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","7","2020-02-06","2020-02-06","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","8","2020-02-07","2020-02-07","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","9","2020-02-10","2020-02-10","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","10","2020-02-11","2020-02-11","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","12","2020-02-13","2020-02-13","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","13","2020-02-14","2020-02-14","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","14","2020-02-17","2020-02-17","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","15","2020-02-18","2020-02-18","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","17","2020-02-20","2020-02-20","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","18","2020-02-21","2020-02-21","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","20","2020-02-25","2020-02-25","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","22","2020-02-27","2020-02-27","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","23","2020-02-28","2020-02-28","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","24","2020-03-02","2020-03-02","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","25","2020-03-03","2020-03-03","A3211","2020-01-31 13:12:10","A3211","2020-01-31 13:12:10","1"
"1","27","2020-03-05","2020-03-05","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","29","2020-03-09","2020-03-09","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","32","2020-03-12","2020-03-12","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","33","2020-03-13","2020-03-13","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","34","2020-03-16","2020-03-16","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","37","2020-03-19","2020-03-19","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","39","2020-03-23","2020-03-23","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","40","2020-03-24","2020-03-24","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","42","2020-03-26","2020-03-26","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","43","2020-03-27","2020-03-27","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","44","2020-03-30","2020-03-30","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","45","2020-03-31","2020-03-31","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","47","2020-04-02","2020-04-02","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","48","2020-04-03","2020-04-03","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","49","2020-04-06","2020-04-06","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","50","2020-04-07","2020-04-07","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","52","2020-04-09","2020-04-09","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","53","2020-04-10","2020-04-10","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","54","2020-04-13","2020-04-13","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","55","2020-04-14","2020-04-14","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","57","2020-04-16","2020-04-16","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","58","2020-04-17","2020-04-17","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","59","2020-04-20","2020-04-20","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","60","2020-04-21","2020-04-21","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","62","2020-04-23","2020-04-23","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","63","2020-04-24","2020-04-24","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","64","2020-04-27","2020-04-27","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","65","2020-04-28","2020-04-28","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","67","2020-04-30","2020-04-30","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","68","2020-05-01","2020-05-01","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","69","2020-05-04","2020-05-04","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","70","2020-05-05","2020-05-05","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","72","2020-05-07","2020-05-07","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","73","2020-05-08","2020-05-08","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","74","2020-05-11","2020-05-11","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","75","2020-05-12","2020-05-12","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","77","2020-05-14","2020-05-14","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","78","2020-05-15","2020-05-15","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","79","2020-05-18","2020-05-18","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","80","2020-05-19","2020-05-19","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","82","2020-05-21","2020-05-21","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","83","2020-05-22","2020-05-22","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","84","2020-05-25","2020-05-25","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","85","2020-05-26","2020-05-26","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","87","2020-05-28","2020-05-28","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","88","2020-05-29","2020-05-29","A3211","2020-01-31 13:12:11","A3211","2020-01-31 13:12:11","1"
"1","89","2020-02-05","2020-02-05","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","90","2020-02-12","2020-02-12","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","91","2020-02-19","2020-02-19","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","92","2020-02-26","2020-02-26","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","93","2020-03-04","2020-03-04","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","94","2020-03-11","2020-03-11","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","95","2020-03-18","2020-03-18","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","96","2020-03-25","2020-03-25","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","97","2020-04-01","2020-04-01","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","98","2020-04-08","2020-04-08","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","99","2020-04-15","2020-04-15","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","100","2020-04-22","2020-04-22","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","101","2020-04-29","2020-04-29","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","102","2020-05-06","2020-05-06","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","103","2020-05-13","2020-05-13","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","104","2020-05-20","2020-05-20","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","105","2020-05-27","2020-05-27","A3211","2020-01-31 16:17:23","A3211","2020-01-31 16:17:23","1"
"1","106","2020-02-24","2020-02-24","A3210","2020-02-13 18:10:53","A3210","2020-02-13 18:10:53","1"
"1","107","2020-03-06","2020-03-06","A3210","2020-02-13 18:10:53","A3210","2020-02-13 18:10:53","1"
"1","108","2020-03-10","2020-03-10","A3210","2020-02-13 18:10:53","A3210","2020-02-13 18:10:53","1"
"1","109","2020-03-17","2020-03-17","A3210","2020-02-13 18:10:53","A3210","2020-02-13 18:10:53","1"
"1","110","2020-03-20","2020-03-20","A3210","2020-02-13 18:10:53","A3210","2020-02-13 18:10:53","1"
"2","1","2018-09-25","2019-01-31","A2636","2018-09-25 17:43:58","A2636","2018-09-25 17:43:58","1"
"2","2","2019-06-01","2019-09-09","A2636","2019-01-17 16:50:17","A3220","2019-09-10 16:37:41","2"
"2","3","2019-09-10","2019-09-10","A3220","2019-09-10 16:37:39","A3220","2019-09-10 16:37:39","1"
